customerID,Genero,Idoso,Casado,Dependents,Tempo_como_Cliente,ServicoTelefonico,Servico_Internet,Servico_Seguranca,Suporte_Tecnico,StreamingTV,Tipo_Contrato,MetodoPagamento,Pagamento_Mensal,Total_Pago,Churn
9867-JCZSP,FEMALE,0,Yes,Yes,17,Yes,No,No internet service,No internet service,No internet service,One year,Mailed check,,418.25,No
4671-VJLCL,FEMALE,0,No,No,63,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),,4861.45,No
4080-IIARD,FEMALE,0,Yes,No,13,Yes,DSL,Yes,Yes,Yes,Month-to-month,Electronic check,,981.45,No
3714-NTNFO,FEMALE,0,No,No,49,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,,3906.7,No
5948-UJZLF,M,0,No,No,2,Yes,DSL,No,No,No,Month-to-month,Mailed check,,97.0,No
7760-OYPDY,F,0,No,No,2,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,,144.15,Yes
7639-LIAYI,MALE,0,No,No,52,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),,4217.8,No
2954-PIBKO,FEMALE,0,Yes,Yes,69,Yes,DSL,Yes,Yes,No,Two year,Credit card (automatic),,4254.1,No
8012-SOUDQ,FEMALE,1,No,No,43,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,,3838.75,No
9420-LOJKX,FEMALE,0,No,No,15,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Credit card (automatic),,1426.4,Yes
6575-SUVOI,FEMALE,1,Yes,No,25,Yes,DSL,Yes,Yes,Yes,Month-to-month,Credit card (automatic),,1752.65,No
7495-OOKFY,FEMALE,1,Yes,No,8,Yes,Fiber optic,No,No,No,Month-to-month,Credit card (automatic),,633.3,Yes
4667-QONEA,FEMALE,1,Yes,Yes,60,Yes,DSL,Yes,Yes,No,One year,Credit card (automatic),,4456.35,No
1658-BYGOY,MALE,1,No,No,18,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,,1752.55,Yes
8769-KKTPH,F,0,Yes,Yes,63,Yes,Fiber optic,Yes,No,Yes,One year,Credit card (automatic),,6311.2,No
5067-XJQFU,MALE,1,Yes,Yes,66,Yes,Fiber optic,No,Yes,Yes,One year,Electronic check,,7076.35,No
3957-SQXML,FEMALE,0,Yes,Yes,34,Yes,No,No internet service,No internet service,No internet service,Two year,Credit card (automatic),,894.3,No
5954-BDFSG,FEMALE,0,No,No,72,Yes,Fiber optic,No,Yes,Yes,Two year,Credit card (automatic),,7853.7,No
0434-CSFON,FEMALE,0,Yes,No,47,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,,4707.1,No
1215-FIGMP,MALE,0,No,No,60,Yes,Fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),,5450.7,No
0526-SXDJP,MALE,0,Yes,No,72,No,DSL,Yes,No,No,Two year,Bank transfer (automatic),,2962.0,No
0557-ASKVU,FEMALE,0,Yes,Yes,18,Yes,DSL,No,Yes,No,One year,Credit card (automatic),,957.1,No
5698-BQJOH,FEMALE,0,No,No,9,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,,857.25,Yes
5122-CYFXA,FEMALE,0,No,No,3,Yes,DSL,No,Yes,Yes,Month-to-month,Electronic check,,244.1,No
8627-ZYGSZ,MALE,0,Yes,No,47,Yes,Fiber optic,No,No,No,One year,Electronic check,,3650.35,No
3410-YOQBQ,FEMALE,0,No,No,31,Yes,dsl,No,Yes,Yes,Two year,Mailed check,,2497.2,No
3170-NMYVV,FEMALE,0,Yes,Yes,50,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),,930.9,No
7410-OIEDU,MALE,0,No,No,10,Yes,Fiber optic,Yes,No,No,Month-to-month,Mailed check,,887.35,No
2273-QCKXA,MALE,0,No,No,1,Yes,dsl,No,Yes,No,Month-to-month,Mailed check,,49.05,No
0731-EBJQB,FEMALE,0,Yes,Yes,52,Yes,No,No internet service,No internet service,No internet service,One year,Electronic check,,1090.65,No
1891-QRQSA,MALE,1,Yes,Yes,64,Yes,Fiber optic,Yes,Yes,Yes,Two year,Bank transfer (automatic),,7099.0,No
8028-PNXHQ,MALE,0,Yes,Yes,62,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),,1424.6,No
5630-AHZIL,FEMALE,0,No,Yes,3,Yes,dsl,Yes,Yes,No,Month-to-month,Bank transfer (automatic),,177.4,No
2673-CXQEU,FEMALE,1,No,No,56,Yes,Fiber optic,Yes,No,Yes,One year,Electronic check,,6139.5,No
6416-JNVRK,FEMALE,0,No,No,46,Yes,DSL,No,No,No,One year,Credit card (automatic),,2688.85,No
5590-ZSKRV,FEMALE,0,Yes,Yes,8,Yes,DSL,Yes,No,No,Month-to-month,Mailed check,,482.25,No
0191-ZHSKZ,MALE,1,No,No,30,Yes,DSL,Yes,No,Yes,Month-to-month,Electronic check,,2111.3,No
3887-PBQAO,FEMALE,0,Yes,Yes,45,Yes,No,No internet service,No internet service,No internet service,One year,Credit card (automatic),,1216.6,No
5919-TMRGD,F,0,No,Yes,1,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,,79.35,Yes
8108-UXRQN,FEMALE,0,Yes,Yes,11,No,DSL,Yes,No,Yes,Month-to-month,Electronic check,,565.35,No
9191-MYQKX,FEMALE,0,Yes,No,7,Yes,Fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),,496.9,Yes
9919-YLNNG,FEMALE,0,No,No,42,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Bank transfer (automatic),,4327.5,No
0318-ZOPWS,FEMALE,0,Yes,No,49,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),,973.35,No
4445-ZJNMU,MALE,0,No,No,9,Yes,Fiber optic,No,No,Yes,Month-to-month,Credit card (automatic),,918.75,No
4808-YNLEU,FEMALE,0,Yes,No,35,Yes,DSL,Yes,No,Yes,One year,Bank transfer (automatic),,2215.45,No
1862-QRWPE,FEMALE,0,Yes,Yes,48,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),,1057.0,No
2796-NNUFI,FEMALE,0,Yes,Yes,46,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,,927.1,No
3016-KSVCP,MALE,0,Yes,No,29,No,DSL,No,No,Yes,Month-to-month,Mailed check,,1009.25,No
4767-HZZHQ,MALE,0,Yes,Yes,30,Yes,Fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),,2570.2,No
2424-WVHPL,MALE,1,No,No,1,Yes,Fiber optic,No,Yes,No,Month-to-month,Electronic check,,74.7,No
7233-PAHHL,MALE,0,Yes,Yes,66,Yes,DSL,Yes,Yes,Yes,Two year,Mailed check,,5714.25,No
6067-NGCEU,FEMALE,0,No,No,65,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Credit card (automatic),,7107.0,No
9848-JQJTX,MALE,0,No,No,72,Yes,Fiber optic,No,No,Yes,Two year,Bank transfer (automatic),,7459.05,No
8637-XJIVR,FEMALE,0,No,No,12,Yes,Fiber optic,Yes,No,No,Month-to-month,Electronic check,,927.35,Yes
9803-FTJCG,MALE,0,Yes,Yes,71,Yes,dsl,Yes,Yes,No,One year,Credit card (automatic),,4748.7,No
0278-YXOOG,MALE,0,No,No,5,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,,113.85,Yes
3212-KXOCR,MALE,0,No,No,52,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),,1107.2,No
4598-XLKNJ,FEMALE,1,Yes,No,25,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,,2514.5,Yes
6380-ARCEH,MALE,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,,20.2,No
3679-XASPY,FEMALE,0,Yes,Yes,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Electronic check,,19.45,No
7123-WQUHX,MALE,0,No,No,38,Yes,Fiber optic,No,Yes,Yes,One year,Bank transfer (automatic),,3605.6,No
5386-THSLQ,FEMALE,1,Yes,No,66,No,DSL,No,No,Yes,One year,Bank transfer (automatic),,3027.25,No
3192-NQECA,MALE,0,Yes,No,68,Yes,Fiber optic,No,Yes,Yes,Two year,Bank transfer (automatic),,7611.85,Yes
6180-YBIQI,MALE,0,No,No,5,No,DSL,No,No,No,Month-to-month,Mailed check,,100.2,No
6728-DKUCO,F,0,Yes,Yes,72,Yes,Fiber optic,Yes,No,Yes,One year,Electronic check,,7303.05,No
9750-BOOHV,FEMALE,0,No,No,32,No,DSL,Yes,No,No,One year,Mailed check,,927.65,No
8597-CWYHH,MALE,0,No,No,43,Yes,Fiber optic,No,No,Yes,One year,Mailed check,,3921.3,No
2848-YXSMW,MALE,0,Yes,Yes,72,Yes,No,No internet service,No internet service,No internet service,Two year,Credit card (automatic),,1363.25,No
0486-HECZI,MALE,0,Yes,No,55,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Electronic check,,5238.9,Yes
4549-ZDQYY,FEMALE,0,No,No,52,Yes,DSL,Yes,Yes,No,One year,Credit card (automatic),,3042.25,No
5712-AHQNN,FEMALE,0,No,No,43,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,,3954.1,No
4846-WHAFZ,FEMALE,1,Yes,No,37,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,,2868.15,Yes
5256-SKJGO,FEMALE,0,Yes,Yes,64,No,DSL,No,Yes,Yes,Two year,Electronic check,,3423.5,No
3071-VBYPO,MALE,0,Yes,Yes,3,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Electronic check,,248.4,No
9560-BBZXK,FEMALE,0,No,No,36,No,DSL,Yes,No,No,Two year,Bank transfer (automatic),,1126.35,No
5299-RULOA,FEMALE,0,Yes,Yes,10,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Electronic check,,1064.65,Yes
8402-OOOHJ,FEMALE,0,No,No,41,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,,835.15,No
9445-ZUEQE,MALE,0,Yes,Yes,27,Yes,Fiber optic,No,Yes,No,Month-to-month,Credit card (automatic),,2151.6,No
1091-SOZGA,FEMALE,0,Yes,Yes,56,Yes,Fiber optic,No,No,Yes,One year,Credit card (automatic),,5515.45,No
2928-HLDBA,FEMALE,0,No,No,6,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,,112.75,No
0404-SWRVG,MALE,0,No,No,3,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,,229.55,Yes
6497-TILVL,FEMALE,0,Yes,Yes,7,Yes,DSL,Yes,No,No,Month-to-month,Mailed check,,350.35,No
7219-TLZHO,FEMALE,0,Yes,Yes,4,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,,62.9,No
4622-YNKIJ,MALE,0,No,No,33,Yes,Fiber optic,Yes,Yes,Yes,Two year,Electronic check,,3027.65,No
4412-YLTKF,FEMALE,1,No,No,27,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,,2135.5,Yes
6734-PSBAW,MALE,0,Yes,No,72,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),,1723.95,No
3930-ZGWVE,MALE,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,,19.75,No
2639-UGMAZ,MALE,1,No,No,71,No,DSL,Yes,No,Yes,One year,Electronic check,,3985.35,No
2876-GZYZC,FEMALE,0,No,No,13,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,,1215.65,No
6207-WIOLX,FEMALE,0,Yes,Yes,25,No,DSL,Yes,No,Yes,Month-to-month,Credit card (automatic),,1502.65,Yes
8587-XYZSF,MALE,0,No,No,67,Yes,DSL,No,Yes,No,Two year,Bank transfer (automatic),,3260.1,No
3091-FYHKI,MALE,0,No,No,1,No,DSL,No,No,No,Month-to-month,Electronic check,,35.45,Yes
2372-HWUHI,MALE,0,No,No,2,Yes,DSL,No,No,No,Month-to-month,Electronic check,,81.25,Yes
7799-LGRDP,FEMALE,0,No,No,43,Yes,No,No internet service,No internet service,No internet service,Two year,Credit card (automatic),,1188.2,No
7850-VWJUU,FEMALE,0,No,No,23,Yes,Fiber optic,Yes,No,No,Month-to-month,Bank transfer (automatic),,1778.5,No
3774-VBNXY,FEMALE,0,Yes,Yes,64,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,,1277.75,No
6217-KDYWC,MALE,0,No,Yes,57,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,,1170.55,No
0390-DCFDQ,FEMALE,1,Yes,No,1,Yes,Fiber optic,No,No,No,Month-to-month,Mailed check,,70.45,Yes
3146-MSEGF,FEMALE,1,Yes,Yes,72,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),,6425.65,No
4080-OGPJL,FEMALE,0,No,No,8,Yes,DSL,Yes,Yes,No,Month-to-month,Electronic check,,563.65,Yes
1095-WGNGG,FEMALE,0,Yes,No,61,Yes,Fiber optic,No,No,Yes,Two year,Bank transfer (automatic),,5971.25,No
2636-SJDOU,MALE,0,No,No,64,Yes,Fiber optic,Yes,No,No,One year,Credit card (automatic),,5289.05,No
1131-QQZEB,MALE,1,Yes,No,71,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),,1756.2,No
5716-EZXZN,FEMALE,0,Yes,Yes,65,Yes,Fiber optic,Yes,Yes,Yes,Two year,Credit card (automatic),,6416.7,No
6837-BJYDQ,MALE,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,One year,Mailed check,,61.35,No
2135-RXIHG,MALE,0,No,No,1,Yes,DSL,No,No,No,Month-to-month,Electronic check,,45.65,Yes
6440-DKQGE,MALE,0,No,Yes,30,Yes,DSL,No,No,Yes,One year,Credit card (automatic),,1929.95,No
3466-BYAVD,MALE,0,Yes,Yes,15,Yes,DSL,No,Yes,No,Month-to-month,Mailed check,,1071.4,No
3780-YVMFA,FEMALE,0,Yes,Yes,8,Yes,DSL,No,Yes,Yes,Month-to-month,Electronic check,,564.35,No
3874-EQOEP,MALE,0,No,No,7,Yes,Fiber optic,No,No,Yes,Month-to-month,Mailed check,,655.5,Yes
1679-JRFBR,FEMALE,0,Yes,Yes,70,Yes,Fiber optic,Yes,No,Yes,One year,Credit card (automatic),,7930.55,No
9073-ZZIAY,MALE,0,Yes,Yes,62,Yes,DSL,Yes,Yes,Yes,Two year,Electronic check,,5215.25,No
3077-RSNTJ,FEMALE,0,Yes,Yes,6,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,,113.5,No
6551-GNYDG,FEMALE,0,Yes,Yes,14,Yes,Fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),,1152.8,No
9167-APMXZ,FEMALE,0,No,No,22,Yes,Fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),,1821.95,No
2749-CTKAJ,MALE,0,Yes,Yes,22,Yes,No,No internet service,No internet service,No internet service,One year,Mailed check,,419.9,No
6371-NZYEG,MALE,0,Yes,Yes,16,Yes,DSL,Yes,No,Yes,Two year,Mailed check,,1024.0,No
7554-NEWDD,MALE,0,No,No,10,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),,251.6,No
8992-VONJD,FEMALE,0,No,Yes,13,Yes,DSL,Yes,No,No,Month-to-month,Electronic check,,764.55,No
9469-WEJBT,MALE,0,Yes,No,37,Yes,Fiber optic,No,Yes,No,Month-to-month,Electronic check,90.35,3419.3,No
3331-HQDTW,FEMALE,0,No,No,34,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Mailed check,109.8,3587.25,Yes
9490-DFPMD,FEMALE,1,No,No,42,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,84.65,3541.35,Yes
2581-VKIRT,FEMALE,0,Yes,Yes,59,Yes,DSL,Yes,Yes,No,One year,Mailed check,65.5,3801.3,No
5442-XSDCW,MALE,0,Yes,Yes,11,Yes,Fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),79.5,868.5,Yes
7426-WEIJX,MALE,1,Yes,Yes,60,Yes,Fiber optic,Yes,No,No,Month-to-month,Electronic check,80.95,4859.1,No
2851-MMUTZ,FEMALE,0,No,No,27,Yes,DSL,No,Yes,No,Month-to-month,Mailed check,56.15,1439.35,No
3049-NDXFL,FEMALE,0,No,No,1,Yes,Fiber optic,No,No,No,Month-to-month,Mailed check,85.8,85.8,Yes
8580-AECUZ,MALE,1,No,No,1,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,79.1,79.1,Yes
3307-TLCUD,MALE,0,Yes,No,17,No,DSL,Yes,No,No,Month-to-month,Mailed check,34.4,592.75,No
6625-FLENO,MALE,0,Yes,No,58,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,20.75,1185.95,No
2967-MXRAV,MALE,0,Yes,Yes,1,Yes,No,No internet service,No internet service,No internet service,One year,Mailed check,18.8,18.8,No
7963-GQRMY,FEMALE,0,Yes,Yes,3,Yes,DSL,No,No,No,Month-to-month,Mailed check,44.3,134.5,Yes
8189-HBVRW,FEMALE,0,No,No,53,Yes,Fiber optic,Yes,No,No,Month-to-month,Electronic check,90.8,4921.2,No
4163-KIUHY,MALE,0,No,No,35,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Electronic check,25.6,901.25,No
1228-FZFRV,MALE,0,Yes,Yes,50,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Credit card (automatic),105.95,5341.8,Yes
3500-NSDOA,MALE,0,Yes,Yes,68,Yes,DSL,No,Yes,No,Two year,Credit card (automatic),70.8,4859.95,No
1171-TYKUR,MALE,0,Yes,No,47,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Electronic check,25.4,1139.2,No
3761-FLYZI,FEMALE,1,Yes,No,65,Yes,Fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),108.8,7082.45,No
2058-DCJBE,MALE,0,No,No,5,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,69.75,324.6,Yes
5364-XYIRR,MALE,0,Yes,No,51,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,94.65,4812.75,Yes
4829-AUOAX,FEMALE,0,No,No,46,Yes,Fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),96.05,4399.5,Yes
1219-NNDDO,FEMALE,0,No,No,9,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,76.85,663.55,No
8388-DMKAE,FEMALE,0,No,No,8,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,20.25,174.65,No
4403-BWPAY,MALE,0,No,No,14,Yes,No,No internet service,No internet service,No internet service,One year,Credit card (automatic),24.8,321.7,No
9659-QEQSY,FEMALE,0,No,No,45,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Electronic check,115.65,5125.5,No
5405-ZMYXQ,FEMALE,0,No,No,8,Yes,Fiber optic,No,No,No,Month-to-month,Credit card (automatic),74.6,548.9,No
5047-LHVLY,MALE,1,No,Yes,1,Yes,DSL,No,No,No,Month-to-month,Mailed check,50.15,50.15,Yes
1442-OKRJE,MALE,0,Yes,Yes,66,Yes,Fiber optic,Yes,No,Yes,One year,Bank transfer (automatic),103.15,7031.3,No
4737-AQCPU,MALE,0,Yes,Yes,72,Yes,DSL,Yes,Yes,No,Two year,Credit card (automatic),72.1,5016.65,No
9158-VCTQB,FEMALE,0,Yes,No,41,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),113.6,4594.95,Yes
2808-CHTDM,FEMALE,0,Yes,Yes,23,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,25.1,611.45,No
6311-UEUME,FEMALE,0,No,No,29,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,78.9,2384.15,Yes
0793-TWELN,FEMALE,0,No,No,4,Yes,Fiber optic,Yes,No,No,Month-to-month,Electronic check,80.15,319.85,No
3283-WCWXT,MALE,0,Yes,Yes,6,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,25.4,153.3,No
1060-ENTOF,FEMALE,1,Yes,No,67,Yes,Fiber optic,Yes,Yes,No,One year,Credit card (automatic),105.4,7035.6,No
0999-QXNSA,MALE,1,No,Yes,7,Yes,DSL,No,No,No,Month-to-month,Mailed check,45.75,344.2,No
5451-MHQOF,MALE,0,Yes,Yes,56,Yes,No,No internet service,No internet service,No internet service,One year,Mailed check,24.45,1431.65,No
4836-WNFNO,FEMALE,0,Yes,No,72,Yes,No,No internet service,No internet service,No internet service,Two year,Credit card (automatic),25.0,1849.2,No
9225-BZLNZ,MALE,0,Yes,No,72,Yes,DSL,Yes,No,Yes,Two year,Electronic check,85.25,6083.1,No
0354-VXMJC,MALE,0,Yes,Yes,23,Yes,No,No internet service,No internet service,No internet service,Two year,Credit card (automatic),19.6,426.65,No
4422-QVIJA,FEMALE,0,No,Yes,35,Yes,DSL,No,No,No,Month-to-month,Mailed check,50.15,1655.35,No
9365-SRSZE,MALE,1,Yes,No,27,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,70.55,1943.9,No
6839-ITVZJ,FEMALE,0,Yes,Yes,26,Yes,DSL,No,Yes,No,Month-to-month,Electronic check,60.05,1616.15,Yes
8332-OSJDW,MALE,0,Yes,Yes,12,Yes,No,No internet service,No internet service,No internet service,One year,Mailed check,26.4,314.95,No
4735-BJKOU,FEMALE,0,No,No,40,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,20.15,804.85,No
0274-JKUJR,MALE,0,Yes,Yes,7,No,DSL,Yes,No,Yes,Month-to-month,Mailed check,58.85,465.7,No
5740-YHGTW,MALE,0,Yes,Yes,70,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Credit card (automatic),97.55,6669.05,No
8917-SZTTJ,MALE,0,Yes,Yes,60,Yes,No,No internet service,No internet service,No internet service,Two year,Credit card (automatic),19.65,1161.75,No
1696-MZVAU,MALE,0,Yes,Yes,39,No,DSL,No,No,No,One year,Credit card (automatic),25.25,947.75,No
7359-WWYJV,MALE,0,Yes,No,72,Yes,Fiber optic,Yes,Yes,Yes,Two year,Credit card (automatic),114.45,8375.05,No
0375-HVGXO,FEMALE,0,No,No,1,No,DSL,No,No,Yes,Month-to-month,Electronic check,34.7,34.7,Yes
4906-ZHGPK,MALE,0,Yes,Yes,54,Yes,DSL,No,Yes,Yes,One year,Electronic check,70.7,3770.0,No
8593-WHYHV,MALE,0,No,No,3,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,85.3,264.8,Yes
3795-GWTRD,FEMALE,0,Yes,Yes,63,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),75.55,4707.85,No
1298-PHBTI,MALE,0,Yes,Yes,71,Yes,Fiber optic,No,Yes,No,Two year,Electronic check,84.8,6152.4,No
6223-DHJGV,FEMALE,0,No,No,42,Yes,No,No internet service,No internet service,No internet service,One year,Mailed check,20.65,958.1,No
6961-MJKBO,MALE,0,No,No,47,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),20.45,943.0,No
6097-EQISJ,FEMALE,0,Yes,Yes,66,Yes,Fiber optic,No,No,Yes,One year,Credit card (automatic),102.45,6615.15,Yes
4423-YLHDV,FEMALE,0,Yes,No,21,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Bank transfer (automatic),104.4,2200.25,Yes
8158-WPEZG,MALE,0,No,No,11,No,DSL,No,Yes,No,Month-to-month,Electronic check,35.65,425.1,No
0107-YHINA,MALE,0,No,Yes,1,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,99.75,99.75,Yes
4918-FYJNT,FEMALE,1,Yes,No,55,Yes,Fiber optic,No,Yes,No,Month-to-month,Electronic check,90.45,5044.8,No
0727-BNRLG,MALE,0,No,No,69,Yes,Fiber optic,No,Yes,Yes,Two year,Credit card (automatic),97.65,6743.55,No
